FIPS,State,County,Food Environment Index
01000,Alabama,,5.3
01001,Alabama,Autauga,6.8
01003,Alabama,Baldwin,7.4
01005,Alabama,Barbour,6.2
01007,Alabama,Bibb,7.3
01009,Alabama,Blount,7.4
01011,Alabama,Bullock,4.4
01013,Alabama,Butler,7.0
01015,Alabama,Calhoun,5.9
01017,Alabama,Chambers,6.9
01019,Alabama,Cherokee,7.0
01021,Alabama,Chilton,7.2
01023,Alabama,Choctaw,6.2
01025,Alabama,Clarke,5.4
01027,Alabama,Clay,7.2
01029,Alabama,Cleburne,7.4
01031,Alabama,Coffee,6.7
01033,Alabama,Colbert,6.7
01035,Alabama,Conecuh,6.4
01037,Alabama,Coosa,7.2
01039,Alabama,Covington,6.7
01041,Alabama,Crenshaw,6.5
01043,Alabama,Cullman,7.4
01045,Alabama,Dale,6.4
01047,Alabama,Dallas,6.4
01049,Alabama,DeKalb,
01051,Alabama,Elmore,7.9
01053,Alabama,Escambia,6.7
01055,Alabama,Etowah,6.3
01057,Alabama,Fayette,6.9
01059,Alabama,Franklin,6.9
01061,Alabama,Geneva,6.6
01063,Alabama,Greene,4.5
01065,Alabama,Hale,6.6
01067,Alabama,Henry,7.0
01069,Alabama,Houston,7.2
01071,Alabama,Jackson,6.5
01073,Alabama,Jefferson,6.9
01075,Alabama,Lamar,7.3
01077,Alabama,Lauderdale,7.2
01079,Alabama,Lawrence,7.0
01081,Alabama,Lee,6.9
01083,Alabama,Limestone,7.6
01085,Alabama,Lowndes,5.4
01087,Alabama,Macon,5.6
01089,Alabama,Madison,7.5
01091,Alabama,Marengo,6.2
01093,Alabama,Marion,7.0
01095,Alabama,Marshall,6.6
01097,Alabama,Mobile,6.9
01099,Alabama,Monroe,6.2
01101,Alabama,Montgomery,6.9
01103,Alabama,Morgan,7.0
01105,Alabama,Perry,3.9
01107,Alabama,Pickens,7.1
01109,Alabama,Pike,6.7
01111,Alabama,Randolph,6.1
01113,Alabama,Russell,6.7
01115,Alabama,St. Clair,7.9
01117,Alabama,Shelby,8.2
01119,Alabama,Sumter,6.3
01121,Alabama,Talladega,6.7
01123,Alabama,Tallapoosa,7.3
01125,Alabama,Tuscaloosa,7.5
01127,Alabama,Walker,6.8
01129,Alabama,Washington,7.5
01131,Alabama,Wilcox,4.7
01133,Alabama,Winston,6.9
02000,Alaska,,7.1
02013,Alaska,Aleutians East,7.3
02016,Alaska,Aleutians West,7.9
02020,Alaska,Anchorage,8.6
02050,Alaska,Bethel,2.9
02060,Alaska,Bristol Bay,7.3
02063,Alaska,Chugach,
02066,Alaska,Copper River,
02068,Alaska,Denali,5.7
02070,Alaska,Dillingham,4.9
02090,Alaska,Fairbanks North Star,8.3
02100,Alaska,Haines,7.7
02105,Alaska,Hoonah-Angoon,5.0
02110,Alaska,Juneau,9.0
02122,Alaska,Kenai Peninsula,7.7
02130,Alaska,Ketchikan Gateway,8.7
02150,Alaska,Kodiak Island,7.8
02158,Alaska,Kusilvak,
02164,Alaska,Lake and Peninsula,3.8
02170,Alaska,Matanuska-Susitna,8.0
02180,Alaska,Nome,6.1
02185,Alaska,North Slope,7.9
02188,Alaska,Northwest Arctic,4.6
02195,Alaska,Petersburg,8.7
02198,Alaska,Prince of Wales-Hyder,6.9
02201,Alaska,Prince of Wales-Outer Ketchikan,
02220,Alaska,Sitka,8.4
02230,Alaska,Skagway,8.7
02232,Alaska,Skagway-Hoonah-Angoon,
02240,Alaska,Southeast Fairbanks,7.2
02261,Alaska,Valdez-Cordova,
02270,Alaska,Wade Hampton,
02275,Alaska,Wrangell,7.7
02280,Alaska,Wrangell-Petersburg,
02282,Alaska,Yakutat,8.5
02290,Alaska,Yukon-Koyukuk,2.7
04000,Arizona,,6.8
04001,Arizona,Apache,3.1
04003,Arizona,Cochise,6.6
04005,Arizona,Coconino,7.0
04007,Arizona,Gila,6.7
04009,Arizona,Graham,6.7
04011,Arizona,Greenlee,7.1
04012,Arizona,La Paz,4.7
04013,Arizona,Maricopa,8.3
04015,Arizona,Mohave,6.0
04017,Arizona,Navajo,4.6
04019,Arizona,Pima,7.5
04021,Arizona,Pinal,7.3
04023,Arizona,Santa Cruz,5.7
04025,Arizona,Yavapai,7.2
04027,Arizona,Yuma,6.3
05000,Arkansas,,4.4
05001,Arkansas,Arkansas,5.1
05003,Arkansas,Ashley,5.8
05005,Arkansas,Baxter,6.6
05007,Arkansas,Benton,7.7
05009,Arkansas,Boone,6.6
05011,Arkansas,Bradley,6.4
05013,Arkansas,Calhoun,5.3
05015,Arkansas,Carroll,7.0
05017,Arkansas,Chicot,5.2
05019,Arkansas,Clark,6.2
05021,Arkansas,Clay,6.2
05023,Arkansas,Cleburne,6.7
05025,Arkansas,Cleveland,6.9
05027,Arkansas,Columbia,6.4
05029,Arkansas,Conway,5.8
05031,Arkansas,Craighead,6.4
05033,Arkansas,Crawford,5.9
05035,Arkansas,Crittenden,6.7
05037,Arkansas,Cross,5.7
05039,Arkansas,Dallas,5.1
05041,Arkansas,Desha,5.2
05043,Arkansas,Drew,6.5
05045,Arkansas,Faulkner,6.6
05047,Arkansas,Franklin,6.6
05049,Arkansas,Fulton,6.7
05051,Arkansas,Garland,6.1
05053,Arkansas,Grant,6.4
05055,Arkansas,Greene,6.4
05057,Arkansas,Hempstead,5.6
05059,Arkansas,Hot Spring,5.8
05061,Arkansas,Howard,5.9
05063,Arkansas,Independence,6.4
05065,Arkansas,Izard,6.6
05067,Arkansas,Jackson,5.3
05069,Arkansas,Jefferson,6.7
05071,Arkansas,Johnson,5.5
05073,Arkansas,Lafayette,6.1
05075,Arkansas,Lawrence,5.2
05077,Arkansas,Lee,4.8
05079,Arkansas,Lincoln,5.9
05081,Arkansas,Little River,7.9
05083,Arkansas,Logan,6.4
05085,Arkansas,Lonoke,7.4
05087,Arkansas,Madison,6.3
05089,Arkansas,Marion,6.6
05091,Arkansas,Miller,6.0
05093,Arkansas,Mississippi,6.1
05095,Arkansas,Monroe,5.5
05097,Arkansas,Montgomery,5.7
05099,Arkansas,Nevada,3.9
05101,Arkansas,Newton,6.6
05103,Arkansas,Ouachita,5.5
05105,Arkansas,Perry,6.7
05107,Arkansas,Phillips,4.6
05109,Arkansas,Pike,6.1
05111,Arkansas,Poinsett,5.7
05113,Arkansas,Polk,5.4
05115,Arkansas,Pope,6.3
05117,Arkansas,Prairie,7.6
05119,Arkansas,Pulaski,6.6
05121,Arkansas,Randolph,6.0
05123,Arkansas,St. Francis,4.9
05125,Arkansas,Saline,7.4
05127,Arkansas,Scott,5.1
05129,Arkansas,Searcy,4.6
05131,Arkansas,Sebastian,6.6
05133,Arkansas,Sevier,5.7
05135,Arkansas,Sharp,5.3
05137,Arkansas,Stone,5.3
05139,Arkansas,Union,6.4
05141,Arkansas,Van Buren,6.1
05143,Arkansas,Washington,7.3
05145,Arkansas,White,6.4
05147,Arkansas,Woodruff,7.3
05149,Arkansas,Yell,6.7
06000,California,,8.7
06001,California,Alameda,9.3
06003,California,Alpine,7.1
06005,California,Amador,9.1
06007,California,Butte,7.6
06009,California,Calaveras,8.0
06011,California,Colusa,6.8
06013,California,Contra Costa,9.2
06015,California,Del Norte,6.8
06017,California,El Dorado,8.9
06019,California,Fresno,7.4
06021,California,Glenn,7.5
06023,California,Humboldt,7.6
06025,California,Imperial,6.1
06027,California,Inyo,7.9
06029,California,Kern,7.2
06031,California,Kings,7.5
06033,California,Lake,7.9
06035,California,Lassen,7.5
06037,California,Los Angeles,8.5
06039,California,Madera,7.5
06041,California,Marin,9.5
06043,California,Mariposa,8.1
06045,California,Mendocino,7.6
06047,California,Merced,7.1
06049,California,Modoc,6.4
06051,California,Mono,7.5
06053,California,Monterey,8.1
06055,California,Napa,9.0
06057,California,Nevada,8.2
06059,California,Orange,9.1
06061,California,Placer,9.0
06063,California,Plumas,8.5
06065,California,Riverside,8.3
06067,California,Sacramento,8.5
06069,California,San Benito,8.9
06071,California,San Bernardino,7.9
06073,California,San Diego,8.8
06075,California,San Francisco,9.0
06077,California,San Joaquin,8.2
06079,California,San Luis Obispo,8.7
06081,California,San Mateo,9.6
06083,California,Santa Barbara,8.6
06085,California,Santa Clara,9.5
06087,California,Santa Cruz,8.4
06089,California,Shasta,7.7
06091,California,Sierra,6.2
06093,California,Siskiyou,6.9
06095,California,Solano,8.9
06097,California,Sonoma,8.9
06099,California,Stanislaus,8.2
06101,California,Sutter,7.5
06103,California,Tehama,7.1
06105,California,Trinity,7.2
06107,California,Tulare,7.3
06109,California,Tuolumne,7.9
06111,California,Ventura,9.0
06113,California,Yolo,8.5
06115,California,Yuba,7.2
08000,Colorado,,8.5
08001,Colorado,Adams,8.5
08003,Colorado,Alamosa,6.9
08005,Colorado,Arapahoe,9.0
08007,Colorado,Archuleta,7.8
08009,Colorado,Baca,6.7
08011,Colorado,Bent,6.7
08013,Colorado,Boulder,8.9
08014,Colorado,Broomfield,8.9
08015,Colorado,Chaffee,8.4
08017,Colorado,Cheyenne,8.1
08019,Colorado,Clear Creek,9.0
08021,Colorado,Conejos,7.9
08023,Colorado,Costilla,1.2
08025,Colorado,Crowley,7.3
08027,Colorado,Custer,8.5
08029,Colorado,Delta,7.8
08031,Colorado,Denver,8.3
08033,Colorado,Dolores,4.8
08035,Colorado,Douglas,9.6
08037,Colorado,Eagle,8.8
08039,Colorado,Elbert,9.2
08041,Colorado,El Paso,8.3
08043,Colorado,Fremont,6.8
08045,Colorado,Garfield,8.8
08047,Colorado,Gilpin,
08049,Colorado,Grand,9.3
08051,Colorado,Gunnison,8.9
08053,Colorado,Hinsdale,8.6
08055,Colorado,Huerfano,6.2
08057,Colorado,Jackson,7.2
08059,Colorado,Jefferson,8.9
08061,Colorado,Kiowa,5.1
08063,Colorado,Kit Carson,7.8
08065,Colorado,Lake,6.8
08067,Colorado,La Plata,8.5
08069,Colorado,Larimer,8.6
08071,Colorado,Las Animas,6.3
08073,Colorado,Lincoln,7.9
08075,Colorado,Logan,7.8
08077,Colorado,Mesa,7.8
08079,Colorado,Mineral,8.4
08081,Colorado,Moffat,6.9
08083,Colorado,Montezuma,7.8
08085,Colorado,Montrose,7.9
08087,Colorado,Morgan,8.2
08089,Colorado,Otero,6.8
08091,Colorado,Ouray,9.1
08093,Colorado,Park,8.3
08095,Colorado,Phillips,8.4
08097,Colorado,Pitkin,8.9
08099,Colorado,Prowers,6.8
08101,Colorado,Pueblo,6.2
08103,Colorado,Rio Blanco,8.3
08105,Colorado,Rio Grande,8.1
08107,Colorado,Routt,9.1
08109,Colorado,Saguache,6.6
08111,Colorado,San Juan,5.2
08113,Colorado,San Miguel,8.9
08115,Colorado,Sedgwick,7.5
08117,Colorado,Summit,9.4
08119,Colorado,Teller,8.8
08121,Colorado,Washington,7.6
08123,Colorado,Weld,8.4
08125,Colorado,Yuma,8.2
09000,Connecticut,,8.2
09001,Connecticut,Fairfield,
09003,Connecticut,Hartford,
09005,Connecticut,Litchfield,
09007,Connecticut,Middlesex,
09009,Connecticut,New Haven,
09011,Connecticut,New London,
09013,Connecticut,Tolland,
09015,Connecticut,Windham,
09110,Connecticut,Capitol,
09120,Connecticut,Greater Bridgeport,
09130,Connecticut,Lower Connecticut River Valley,
09140,Connecticut,Naugatuck Valley,
09150,Connecticut,Northeastern Connecticut,
09160,Connecticut,Northwest Hills,
09170,Connecticut,South Central Connecticut,
09180,Connecticut,Southeastern Connecticut,
09190,Connecticut,Western Connecticut,
10000,Delaware,,8.0
10001,Delaware,Kent,7.8
10003,Delaware,New Castle,8.2
10005,Delaware,Sussex,7.9
11000,District of Columbia,,8.9
11001,District of Columbia,District of Columbia,8.9
12000,Florida,,7.1
12001,Florida,Alachua,7.8
12003,Florida,Baker,6.9
12005,Florida,Bay,7.4
12007,Florida,Bradford,8.1
12009,Florida,Brevard,7.6
12011,Florida,Broward,8.8
12013,Florida,Calhoun,5.6
12015,Florida,Charlotte,7.0
12017,Florida,Citrus,6.4
12019,Florida,Clay,8.2
12021,Florida,Collier,8.2
12023,Florida,Columbia,7.8
12027,Florida,DeSoto,6.7
12029,Florida,Dixie,7.6
12031,Florida,Duval,7.7
12033,Florida,Escambia,7.2
12035,Florida,Flagler,7.0
12037,Florida,Franklin,7.7
12039,Florida,Gadsden,7.8
12041,Florida,Gilchrist,8.4
12043,Florida,Glades,5.4
12045,Florida,Gulf,8.3
12047,Florida,Hamilton,6.7
12049,Florida,Hardee,5.8
12051,Florida,Hendry,7.0
