FIPS,State,County,% Uninsured
01000,Alabama,,10
01001,Alabama,Autauga,8
01003,Alabama,Baldwin,10
01005,Alabama,Barbour,12
01007,Alabama,Bibb,11
01009,Alabama,Blount,13
01011,Alabama,Bullock,11
01013,Alabama,Butler,10
01015,Alabama,Calhoun,12
01017,Alabama,Chambers,13
01019,Alabama,Cherokee,13
01021,Alabama,Chilton,13
01023,Alabama,Choctaw,11
01025,Alabama,Clarke,11
01027,Alabama,Clay,11
01029,Alabama,Cleburne,12
01031,Alabama,Coffee,12
01033,Alabama,Colbert,11
01035,Alabama,Conecuh,11
01037,Alabama,Coosa,9
01039,Alabama,Covington,11
01041,Alabama,Crenshaw,13
01043,Alabama,Cullman,12
01045,Alabama,Dale,10
01047,Alabama,Dallas,10
01049,Alabama,DeKalb,15
01051,Alabama,Elmore,9
01053,Alabama,Escambia,12
01055,Alabama,Etowah,11
01057,Alabama,Fayette,12
01059,Alabama,Franklin,14
01061,Alabama,Geneva,12
01063,Alabama,Greene,9
01065,Alabama,Hale,11
01067,Alabama,Henry,11
01069,Alabama,Houston,12
01071,Alabama,Jackson,13
01073,Alabama,Jefferson,10
01075,Alabama,Lamar,11
01077,Alabama,Lauderdale,11
01079,Alabama,Lawrence,12
01081,Alabama,Lee,10
01083,Alabama,Limestone,9
01085,Alabama,Lowndes,9
01087,Alabama,Macon,10
01089,Alabama,Madison,8
01091,Alabama,Marengo,10
01093,Alabama,Marion,11
01095,Alabama,Marshall,12
01097,Alabama,Mobile,12
01099,Alabama,Monroe,11
01101,Alabama,Montgomery,11
01103,Alabama,Morgan,12
01105,Alabama,Perry,10
01107,Alabama,Pickens,10
01109,Alabama,Pike,11
01111,Alabama,Randolph,13
01113,Alabama,Russell,12
01115,Alabama,St. Clair,10
01117,Alabama,Shelby,8
01119,Alabama,Sumter,9
01121,Alabama,Talladega,10
01123,Alabama,Tallapoosa,12
01125,Alabama,Tuscaloosa,9
01127,Alabama,Walker,12
01129,Alabama,Washington,10
01131,Alabama,Wilcox,12
01133,Alabama,Winston,12
02000,Alaska,,13
02013,Alaska,Aleutians East,20
02016,Alaska,Aleutians West,17
02020,Alaska,Anchorage,12
02050,Alaska,Bethel,14
02060,Alaska,Bristol Bay,17
02063,Alaska,Chugach,18
02066,Alaska,Copper River,14
02068,Alaska,Denali,13
02070,Alaska,Dillingham,17
02090,Alaska,Fairbanks North Star,11
02100,Alaska,Haines,11
02105,Alaska,Hoonah-Angoon,17
02110,Alaska,Juneau,12
02122,Alaska,Kenai Peninsula,15
02130,Alaska,Ketchikan Gateway,16
02150,Alaska,Kodiak Island,18
02158,Alaska,Kusilvak,14
02164,Alaska,Lake and Peninsula,19
02170,Alaska,Matanuska-Susitna,15
02180,Alaska,Nome,15
02185,Alaska,North Slope,15
02188,Alaska,Northwest Arctic,17
02195,Alaska,Petersburg,18
02198,Alaska,Prince of Wales-Hyder,19
02201,Alaska,Prince of Wales-Outer Ketchikan,
02220,Alaska,Sitka,15
02230,Alaska,Skagway,16
02232,Alaska,Skagway-Hoonah-Angoon,
02240,Alaska,Southeast Fairbanks,16
02261,Alaska,Valdez-Cordova,
02270,Alaska,Wade Hampton,
02275,Alaska,Wrangell,21
02280,Alaska,Wrangell-Petersburg,
02282,Alaska,Yakutat,19
02290,Alaska,Yukon-Koyukuk,19
04000,Arizona,,13
04001,Arizona,Apache,13
04003,Arizona,Cochise,11
04005,Arizona,Coconino,14
04007,Arizona,Gila,15
04009,Arizona,Graham,11
04011,Arizona,Greenlee,9
04012,Arizona,La Paz,17
04013,Arizona,Maricopa,12
04015,Arizona,Mohave,14
04017,Arizona,Navajo,15
04019,Arizona,Pima,11
04021,Arizona,Pinal,13
04023,Arizona,Santa Cruz,20
04025,Arizona,Yavapai,16
04027,Arizona,Yuma,17
05000,Arkansas,,10
05001,Arkansas,Arkansas,8
05003,Arkansas,Ashley,10
05005,Arkansas,Baxter,11
05007,Arkansas,Benton,11
05009,Arkansas,Boone,9
05011,Arkansas,Bradley,12
05013,Arkansas,Calhoun,10
05015,Arkansas,Carroll,14
05017,Arkansas,Chicot,11
05019,Arkansas,Clark,9
05021,Arkansas,Clay,10
05023,Arkansas,Cleburne,10
05025,Arkansas,Cleveland,8
05027,Arkansas,Columbia,9
05029,Arkansas,Conway,9
05031,Arkansas,Craighead,10
05033,Arkansas,Crawford,9
05035,Arkansas,Crittenden,9
05037,Arkansas,Cross,10
05039,Arkansas,Dallas,9
05041,Arkansas,Desha,10
05043,Arkansas,Drew,9
05045,Arkansas,Faulkner,8
05047,Arkansas,Franklin,10
05049,Arkansas,Fulton,9
05051,Arkansas,Garland,10
05053,Arkansas,Grant,7
05055,Arkansas,Greene,8
05057,Arkansas,Hempstead,11
05059,Arkansas,Hot Spring,8
05061,Arkansas,Howard,10
05063,Arkansas,Independence,10
05065,Arkansas,Izard,10
05067,Arkansas,Jackson,9
05069,Arkansas,Jefferson,8
05071,Arkansas,Johnson,11
05073,Arkansas,Lafayette,12
05075,Arkansas,Lawrence,9
05077,Arkansas,Lee,10
05079,Arkansas,Lincoln,10
05081,Arkansas,Little River,8
05083,Arkansas,Logan,9
05085,Arkansas,Lonoke,9
05087,Arkansas,Madison,10
05089,Arkansas,Marion,10
05091,Arkansas,Miller,9
05093,Arkansas,Mississippi,8
05095,Arkansas,Monroe,11
05097,Arkansas,Montgomery,13
05099,Arkansas,Nevada,7
05101,Arkansas,Newton,9
05103,Arkansas,Ouachita,8
05105,Arkansas,Perry,9
05107,Arkansas,Phillips,9
05109,Arkansas,Pike,11
05111,Arkansas,Poinsett,9
05113,Arkansas,Polk,11
05115,Arkansas,Pope,11
05117,Arkansas,Prairie,9
05119,Arkansas,Pulaski,9
05121,Arkansas,Randolph,10
05123,Arkansas,St. Francis,11
05125,Arkansas,Saline,8
05127,Arkansas,Scott,9
05129,Arkansas,Searcy,9
05131,Arkansas,Sebastian,11
05133,Arkansas,Sevier,15
05135,Arkansas,Sharp,11
05137,Arkansas,Stone,12
05139,Arkansas,Union,9
05141,Arkansas,Van Buren,10
05143,Arkansas,Washington,14
05145,Arkansas,White,10
05147,Arkansas,Woodruff,9
05149,Arkansas,Yell,12
06000,California,,8
06001,California,Alameda,4
06003,California,Alpine,6
06005,California,Amador,6
06007,California,Butte,8
06009,California,Calaveras,7
06011,California,Colusa,10
06013,California,Contra Costa,5
06015,California,Del Norte,8
06017,California,El Dorado,5
06019,California,Fresno,8
06021,California,Glenn,9
06023,California,Humboldt,7
06025,California,Imperial,9
06027,California,Inyo,7
06029,California,Kern,8
06031,California,Kings,7
