geoid,county,state,dentists_per_10k
01001,Autauga,AL,3.01
01003,Baldwin,AL,4.71
01005,Barbour,AL,3.24
01007,Bibb,AL,2.27
01009,Blount,AL,1.68
01011,Bullock,AL,1.96
01013,Butler,AL,3.75
01015,Calhoun,AL,6.48
01017,Chambers,AL,2.05
01019,Cherokee,AL,1.58
01021,Chilton,AL,2.62
01023,Choctaw,AL,4.82
01025,Clarke,AL,3.55
01027,Clay,AL,1.41
01029,Cleburne,AL,
01031,Coffee,AL,3.47
01033,Colbert,AL,5.00
01035,Conecuh,AL,1.78
01037,Coosa,AL,
01039,Covington,AL,3.72
01041,Crenshaw,AL,2.30
01043,Cullman,AL,4.85
01045,Dale,AL,3.43
01047,Dallas,AL,3.54
01049,DeKalb,AL,2.92
01051,Elmore,AL,1.34
01053,Escambia,AL,4.36
01055,Etowah,AL,5.05
01057,Fayette,AL,3.10
01059,Franklin,AL,2.19
01061,Geneva,AL,0.75
01063,Greene,AL,
01065,Hale,AL,1.37
01067,Henry,AL,2.83
01069,Houston,AL,6.39
01071,Jackson,AL,3.21
01073,Jefferson,AL,9.39
01075,Lamar,AL,2.19
01077,Lauderdale,AL,5.84
01079,Lawrence,AL,0.90
01081,Lee,AL,3.43
01083,Limestone,AL,2.98
01085,Lowndes,AL,
01087,Macon,AL,2.70
01089,Madison,AL,5.38
01091,Marengo,AL,2.67
01093,Marion,AL,2.06
01095,Marshall,AL,3.62
01097,Mobile,AL,5.42
01099,Monroe,AL,2.06
01101,Montgomery,AL,7.95
01103,Morgan,AL,5.23
01105,Perry,AL,2.49
01107,Pickens,AL,2.14
01109,Pike,AL,3.03
01111,Randolph,AL,0.89
01113,Russell,AL,2.73
01115,St. Clair,AL,2.87
01117,Shelby,AL,5.08
01119,Sumter,AL,1.69
01121,Talladega,AL,3.59
01123,Tallapoosa,AL,3.17
01125,Tuscaloosa,AL,4.48
01127,Walker,AL,4.66
01129,Washington,AL,1.32
01131,Wilcox,AL,0.99
01133,Winston,AL,1.68
02013,Aleutians East,AK,2.94
02016,Aleutians West,AK,11.71
02020,Anchorage,AK,13.33
02050,Bethel,AK,15.87
02060,Bristol Bay,AK,11.56
02068,Denali,AK,0.00
02070,Dillingham,AK,12.71
02090,Fairbanks North Star,AK,14.16
02100,Haines,AK,14.60
02105,Hoonah-Angoon,AK,0.00
02110,Juneau,AK,11.05
02122,Kenai Peninsula,AK,7.41
02130,Ketchikan Gateway,AK,8.01
02150,Kodiak Island,AK,5.50
02158,Kusilvak,AK,
02164,Lake and Peninsula,AK,0.00
02170,Matanuska-Susitna,AK,5.12
02180,Nome,AK,10.16
02185,North Slope,AK,6.48
02188,Northwest Arctic,AK,4.04
02195,Petersburg,AK,8.93
02198,Prince of Wales-Hyder,AK,5.31
02220,Sitka,AK,13.12
02230,Skagway,AK,0.00
02240,Southeast Fairbanks,AK,5.70
02261,Valdez-Cordova,AK,
02275,Wrangell,AK,4.83
02282,Yakutat,AK,0.00
02290,Yukon-Koyukuk,AK,3.86
04001,Apache,AZ,7.49
04003,Cochise,AZ,5.73
04005,Coconino,AZ,8.33
04007,Gila,AZ,6.12
04009,Graham,AZ,5.41
04011,Greenlee,AZ,2.15
04012,La Paz,AZ,6.06
04013,Maricopa,AZ,7.21
04015,Mohave,AZ,4.44
04017,Navajo,AZ,6.81
04019,Pima,AZ,6.72
04021,Pinal,AZ,3.43
04023,Santa Cruz,AZ,2.26
04025,Yavapai,AZ,6.78
04027,Yuma,AZ,3.22
05001,Arkansas,AR,4.84
05003,Ashley,AR,4.36
05005,Baxter,AR,5.66
05007,Benton,AR,4.39
05009,Boone,AR,5.75
05011,Bradley,AR,3.95
05013,Calhoun,AR,
05015,Carroll,AR,2.78
05017,Chicot,AR,5.06
05019,Clark,AR,5.18
05021,Clay,AR,4.21
05023,Cleburne,AR,4.35
05025,Cleveland,AR,
05027,Columbia,AR,4.50
05029,Conway,AR,4.28
05031,Craighead,AR,7.96
05033,Crawford,AR,2.29
05035,Crittenden,AR,6.59
05037,Cross,AR,5.42
05039,Dallas,AR,3.23
05041,Desha,AR,2.79
05043,Drew,AR,2.96
05045,Faulkner,AR,4.31
05047,Franklin,AR,1.74
05049,Fulton,AR,1.62
05051,Garland,AR,6.09
05053,Grant,AR,3.86
05055,Greene,AR,3.23
05057,Hempstead,AR,3.60
05059,Hot Spring,AR,2.71
05061,Howard,AR,2.39
05063,Independence,AR,4.48
05065,Izard,AR,2.14
05067,Jackson,AR,3.01
05069,Jefferson,AR,3.89
05071,Johnson,AR,2.69
05073,Lafayette,AR,
05075,Lawrence,AR,3.09
05077,Lee,AR,4.78
05079,Lincoln,AR,1.55
05081,Little River,AR,4.23
05083,Logan,AR,4.24
05085,Lonoke,AR,2.92
05087,Madison,AR,3.43
05089,Marion,AR,1.74
05091,Miller,AR,3.29
05093,Mississippi,AR,4.11
05095,Monroe,AR,6.09
05097,Montgomery,AR,2.34
05099,Nevada,AR,
05101,Newton,AR,
05103,Ouachita,AR,4.54
05105,Perry,AR,
05107,Phillips,AR,3.27
05109,Pike,AR,2.95
05111,Poinsett,AR,1.33
05113,Polk,AR,4.14
05115,Pope,AR,4.68
05117,Prairie,AR,1.24
05119,Pulaski,AR,7.69
05121,Randolph,AR,2.65
05123,St. Francis,AR,4.45
05125,Saline,AR,3.38
05127,Scott,AR,1.02
05129,Searcy,AR,3.79
05131,Sebastian,AR,7.91
05133,Sevier,AR,2.55
05135,Sharp,AR,2.81
05137,Stone,AR,2.39
05139,Union,AR,4.50
05141,Van Buren,AR,5.59
05143,Washington,AR,6.29
05145,White,AR,3.47
05147,Woodruff,AR,4.96
05149,Yell,AR,2.98
06001,Alameda,CA,10.40
06003,Alpine,CA,0.00
06005,Amador,CA,6.28
06007,Butte,CA,8.10
06009,Calaveras,CA,4.94
06011,Colusa,CA,3.65
06013,Contra Costa,CA,9.35
06015,Del Norte,CA,8.50
